"","Site","Site_Code","Date","Lat","Long","Watershed","Watershed_Level","Status","Location","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4"
"84","Barnes Meadow Outflow","BMD",2021-08-11,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",15.5,2.88,8.58,12.58,0.64,6.94,464.18,72.7,2.57,0.3,1.31,1.52,7.56,0.07,1.75,0.13,0,10
"85","Barnes Meadow Reservoir","BRNR",2021-08-11,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",4.5,NA,4.81,11.96,0.32,7.3,478.83,84.04,2.74,0.03,1.38,1.58,11.11,0.05,1.79,0.01,0,11.61
"86","Chambers Reservoir","CBRR",2021-08-11,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",4,NA,2.47,6.61,0.2,7.23,352.37,46.78,1.54,0.02,0.88,1.03,6.34,0.06,0.55,0.03,0,3.41
"87","Chambers Outflow","CHD",2021-08-11,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3.5,NA,1.91,6.57,0.18,7.17,376.66,47.69,1.51,0.02,0.85,1.05,6.21,0.08,0.47,0.03,0,3.4
"88","Peterson Outlet","PTRO",2021-08-18,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",3.5,1.53,1.06,9.51,0.44,6.96,206.72,43.22,1.71,0.06,1.4,0.62,5.9,0.07,0.82,0.32,0,6.71
"89","Peterson Reservoir","PTRR",2021-08-18,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",2,1.2,1.5,9.41,0.46,6.5,217.31,42.73,1.69,0.08,1.38,0.56,5.5,0.06,0.82,0.53,0,6.97
"90","Barnes Meadow Outflow","BMD",2021-08-18,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",14,NA,9.42,7.09,0.55,6.67,446.91,63.94,2.44,0.36,1.27,1.48,7.07,0.06,1.75,0.04,0,9.32
"91","Barnes Meadow Reservoir","BRNR",2021-08-18,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",4,6.8,2.29,13.56,0.39,6.97,455.52,80.48,2.65,0.06,1.36,1.58,9.48,0.04,1.84,0.01,0,11.22
"92","Chambers Reservoir","CBRR",2021-08-18,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",4.25,7.5,2.2,6.7,0.24,6.94,321.09,39.55,1.5,0.06,0.83,1.02,4.23,0.06,0.46,0.01,0,3.1
"93","Chambers Outflow","CHD",2021-08-18,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3,2.35,1.76,6.72,0.19,6.98,376.8,45.12,1.55,0.04,0.85,1.07,5.61,0.05,0.46,0.01,0,3.21
"94","Peterson Outlet","PTRO",2021-08-25,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",3.5,3.2,2.69,9.31,0.38,6.81,193.7,43.89,1.76,0.08,1.37,0.43,5.97,0.02,0.93,0.41,0,6.83
"95","Peterson Reservoir","PTRR",2021-08-25,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",1.75,2.4,3.03,9.57,0.42,6.73,210.53,41.41,1.72,0.06,1.39,0.42,5.18,0.03,0.97,0.44,0,7.43
"96","Barnes Meadow Outflow","BMD",2021-08-25,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",13,19.96,8.42,6.55,0.49,6.86,441.77,68.56,2.32,0.38,1.23,1.48,7.83,0.04,1.65,0.15,0,8.75
"97","Barnes Meadow Reservoir","BRNR",2021-08-25,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",4.2,7.82,1.91,14.03,0.41,7.15,478.99,80.92,2.64,0.02,1.29,1.63,9.59,0.03,1.79,0.02,0,11.09
