Date,Ta_C,SM_5,SM_20,SM_50
2019-11-12,3.4457603229166667,NA,0.14277395,0.0038012509375
2019-11-13,3.7158020729166665,NA,0.145005690625,0.00397082159375
2019-11-14,2.6134478854166665,NA,0.14604241041666666,0.004399326385416667
2019-11-15,6.779656229166667,NA,0.14735389166666665,NA
2019-11-16,2.5226770178125,NA,0.14853168645833334,NA
2019-11-17,4.595916571875,NA,0.148401471875,NA
2019-11-18,7.30920828125,NA,0.14836431770833333,NA
2019-11-19,7.94381246875,NA,0.14761955208333333,NA
2019-11-20,2.2020937395833333,NA,0.14720385729166666,NA
2019-11-21,-6.457197916666667,NA,0.14668789583333333,NA
2019-11-22,-2.873197916666667,NA,0.14580918541666665,NA
2019-11-23,0.05570822927083329,NA,0.14463291458333333,NA
2019-11-24,4.0085833125,NA,0.14391403958333335,NA
2019-11-25,-3.2554062290625,NA,0.14290014270833334,NA
2019-11-26,-11.315749760416667,NA,0.14277490416666666,NA
2019-11-27,-11.234031197916666,NA,0.14239582916666665,NA
2019-11-28,-2.4644791458333333,NA,0.14195231770833333,NA
2019-11-29,-0.5514062488541667,NA,0.141721303125,NA
2019-11-30,-6.50388540625,NA,0.14143529270833333,NA
2019-12-01,-2.105260416666667,NA,0.14096689375,NA
2019-12-02,3.29971875,NA,0.14062895625,NA
2019-12-03,1.9104791665625,NA,0.14050206458333334,NA
2019-12-04,1.5786458344791667,NA,0.14038094166666668,NA
2019-12-05,-0.3755208332291667,NA,0.140299165625,NA
2019-12-06,-0.02848958125000002,NA,0.14014365,NA
2019-12-07,2.8604375,NA,0.140102603125,NA
2019-12-08,1.6374270832291666,NA,0.140329653125,NA
2019-12-09,-2.7733854166666667,NA,0.140409621875,NA
2019-12-10,-2.097958334375,NA,0.140293315625,NA
2019-12-11,-1.4465624989583332,NA,0.14000896354166667,NA
2019-12-12,0.008677085416666671,NA,0.13997304166666666,NA
2019-12-13,-2.583124998958333,NA,0.139955265625,NA
2019-12-14,-5.4183645729166665,NA,0.139737909375,NA
2019-12-15,-9.753812354166667,NA,0.13948871666666668,NA
2019-12-16,-12.30247909375,NA,0.13927674791666667,NA
