Reading,Receive,Value,Unit,Data Quality
2021-10-11 01:47:52,2021-10-11 01:48:05,2.99,ft,A
2021-10-11 01:32:56,2021-10-11 01:33:20,2.99,ft,A
2021-10-11 01:17:52,2021-10-11 01:18:05,2.99,ft,A
2021-10-11 01:02:52,2021-10-11 01:03:05,2.99,ft,A
2021-10-11 00:47:55,2021-10-11 00:48:20,2.99,ft,A
2021-10-11 00:32:53,2021-10-11 00:33:20,2.99,ft,A
2021-10-11 00:17:52,2021-10-11 00:18:05,2.99,ft,A
2021-10-11 00:02:52,2021-10-11 00:03:05,2.99,ft,A
2021-10-10 23:47:52,2021-10-10 23:48:05,2.99,ft,A
2021-10-10 23:32:52,2021-10-10 23:33:05,3.03,ft,A
2021-10-10 23:17:55,2021-10-10 23:18:20,3.03,ft,A
2021-10-10 23:02:53,2021-10-10 23:03:20,3.03,ft,A
2021-10-10 23:02:52,2021-10-10 23:03:05,3.03,ft,A
2021-10-10 22:47:53,2021-10-10 22:48:05,3.03,ft,A
2021-10-10 22:32:54,2021-10-10 22:33:05,3.03,ft,A
2021-10-10 22:17:54,2021-10-10 22:18:05,3.03,ft,A
2021-10-10 22:02:53,2021-10-10 22:03:20,3.03,ft,A
2021-10-10 21:47:53,2021-10-10 21:48:20,3.03,ft,A
2021-10-10 21:32:53,2021-10-10 21:33:20,3.03,ft,A
2021-10-10 21:17:55,2021-10-10 21:18:05,3.03,ft,A
2021-10-10 21:02:53,2021-10-10 21:03:20,3.03,ft,A
2021-10-10 20:47:53,2021-10-10 20:48:20,3.03,ft,A
2021-10-10 20:32:53,2021-10-10 20:33:20,3.03,ft,A
2021-10-10 20:17:52,2021-10-10 20:18:05,3.03,ft,A
2021-10-10 20:02:57,2021-10-10 20:03:20,3.03,ft,A
2021-10-10 20:02:56,2021-10-10 20:03:05,3.03,ft,A
2021-10-10 19:47:53,2021-10-10 19:48:20,3.03,ft,A
2021-10-10 19:32:53,2021-10-10 19:33:20,3.03,ft,A
2021-10-10 19:17:55,2021-10-10 19:18:05,3.03,ft,A
2021-10-10 19:02:52,2021-10-10 19:03:05,3.03,ft,A
2021-10-10 18:47:53,2021-10-10 18:48:20,3.03,ft,A
2021-10-10 18:32:54,2021-10-10 18:33:20,2.99,ft,A
2021-10-10 18:17:53,2021-10-10 18:18:20,2.99,ft,A
2021-10-10 18:02:53,2021-10-10 18:03:20,2.99,ft,A
2021-10-10 17:47:55,2021-10-10 17:48:05,2.99,ft,A
2021-10-10 17:32:56,2021-10-10 17:33:05,2.99,ft,A
2021-10-10 17:17:53,2021-10-10 17:18:20,2.99,ft,A
2021-10-10 17:02:56,2021-10-10 17:03:20,2.99,ft,A
2021-10-10 16:47:52,2021-10-10 16:48:05,2.96,ft,A
2021-10-10 16:32:53,2021-10-10 16:33:20,2.96,ft,A
2021-10-10 16:17:54,2021-10-10 16:18:05,2.96,ft,A
2021-10-10 16:02:54,2021-10-10 16:03:05,2.96,ft,A
2021-10-10 15:47:54,2021-10-10 15:48:05,2.96,ft,A
2021-10-10 15:32:56,2021-10-10 15:33:05,2.96,ft,A
2021-10-10 15:17:54,2021-10-10 15:18:05,2.96,ft,A
2021-10-10 15:17:53,2021-10-10 15:18:20,2.96,ft,A
2021-10-10 15:02:54,2021-10-10 15:03:05,2.96,ft,A
2021-10-10 14:47:56,2021-10-10 14:48:05,2.96,ft,A
2021-10-10 14:32:54,2021-10-10 14:33:05,2.96,ft,A
2021-10-10 14:17:54,2021-10-10 14:18:05,2.96,ft,A
2021-10-10 14:02:54,2021-10-10 14:03:05,2.96,ft,A
2021-10-10 14:02:53,2021-10-10 14:03:20,2.96,ft,A
