Date,P_in
8/25/2012,0
8/26/2012,0
8/27/2012,0.16
8/28/2012,0.01
8/29/2012,0.01
8/30/2012,0.52
8/31/2012,0
9/1/2012,0
9/2/2012,0
9/3/2012,0.2
9/4/2012,0
9/5/2012,0
9/6/2012,0
9/7/2012,0.22
9/8/2012,0
9/9/2012,0
9/10/2012,0
9/11/2012,0.95
9/12/2012,0.17
9/13/2012,0
9/14/2012,0
9/15/2012,0
9/16/2012,0
9/17/2012,0.07
9/18/2012,0
9/19/2012,0
9/20/2012,0
9/21/2012,0
9/22/2012,0
9/23/2012,0.02
9/24/2012,0.22
9/25/2012,1.04
9/26/2012,0.4
9/27/2012,0.06
9/28/2012,0
9/29/2012,0
9/30/2012,0
10/1/2012,0
10/2/2012,0
10/3/2012,0
10/4/2012,0
10/5/2012,0.07
10/6/2012,0
10/7/2012,0
10/8/2012,0
10/9/2012,0
10/10/2012,0
10/11/2012,0
10/12/2012,0.36
10/13/2012,0.46
10/14/2012,0.07
10/15/2012,0
10/16/2012,0.44
10/17/2012,0
10/18/2012,0
10/19/2012,0
10/20/2012,0
10/21/2012,0
10/22/2012,0
10/23/2012,0
10/24/2012,0.27
10/25/2012,0.37
10/26/2012,0.05
10/27/2012,0.12
10/28/2012,0.07
10/29/2012,0
10/30/2012,0
10/31/2012,0
11/1/2012,0
11/2/2012,0
11/3/2012,0
11/4/2012,0
11/5/2012,0
11/6/2012,0
11/7/2012,0
11/8/2012,0
11/9/2012,0
11/10/2012,0.68
11/11/2012,0.16
11/12/2012,0.03
11/13/2012,0
11/14/2012,0
11/15/2012,0.03
11/16/2012,0
11/17/2012,0.09
11/18/2012,0.13
11/19/2012,0.02
11/20/2012,0
11/21/2012,0
11/22/2012,0
11/23/2012,0
11/24/2012,0
11/25/2012,0
11/26/2012,0
11/27/2012,0
11/28/2012,0
11/29/2012,0
11/30/2012,0
12/1/2012,0.01
12/2/2012,0
12/3/2012,0.09
12/4/2012,0
12/5/2012,0
12/6/2012,0
12/7/2012,0.25
12/8/2012,0.81
12/9/2012,0.09
12/10/2012,0.36
12/11/2012,0.16
12/12/2012,0.05
12/13/2012,0
12/14/2012,0.04
12/15/2012,0.17
12/16/2012,0.16
12/17/2012,0.78
12/18/2012,0.42
12/19/2012,0.44
12/20/2012,0
12/21/2012,0
12/22/2012,0
12/23/2012,0.07
12/24/2012,0.38
12/25/2012,0.05
12/26/2012,0.07
12/27/2012,0.19
12/28/2012,0.03
12/29/2012,0.01
12/30/2012,0
12/31/2012,0.03
1/1/2013,0
1/2/2013,0.02
1/3/2013,0
1/4/2013,0
1/5/2013,0
1/6/2013,0
1/7/2013,0
1/8/2013,0.05
1/9/2013,0
1/10/2013,0
1/11/2013,0.56
1/12/2013,0
1/13/2013,0.02
1/14/2013,0.01
1/15/2013,0
1/16/2013,0
1/17/2013,0
1/18/2013,0
1/19/2013,0
1/20/2013,0
1/21/2013,0
1/22/2013,0
1/23/2013,0
1/24/2013,0.06
1/25/2013,0.02
1/26/2013,0.14
1/27/2013,0.13
1/28/2013,0.23
1/29/2013,0.13
1/30/2013,0.83
1/31/2013,0.45
2/1/2013,0.35
2/2/2013,0.01
2/3/2013,0
2/4/2013,0
2/5/2013,0
2/6/2013,0.29
2/7/2013,0
2/8/2013,0
2/9/2013,0.13
2/10/2013,0.14
2/11/2013,0.09
2/12/2013,0.04
2/13/2013,0.08
2/14/2013,0.19
2/15/2013,0.3
2/16/2013,0
2/17/2013,0.07
2/18/2013,0.13
2/19/2013,0
2/20/2013,0.1
2/21/2013,0.04
2/22/2013,0.06
2/23/2013,0.09
2/24/2013,0.38
2/25/2013,0
2/26/2013,0.02
2/27/2013,0.02
2/28/2013,0.03
3/1/2013,0.15
3/2/2013,0.03
3/3/2013,0.29
3/4/2013,0.39
3/5/2013,0.01
3/6/2013,0
3/7/2013,0
3/8/2013,0
3/9/2013,0.36
3/10/2013,0.02
3/11/2013,0.52
3/12/2013,0.23
3/13/2013,0.01
3/14/2013,0
3/15/2013,0
3/16/2013,0.11
3/17/2013,0.35
3/18/2013,0.28
3/19/2013,0
3/20/2013,0.07
3/21/2013,0.39
3/22/2013,0.32
3/23/2013,0.37
3/24/2013,0.18
3/25/2013,0.03
3/26/2013,0.02
3/27/2013,0.12
3/28/2013,0
3/29/2013,0.32
3/30/2013,0.16
3/31/2013,0
4/1/2013,0.24
4/2/2013,0.49
4/3/2013,0
4/4/2013,0
4/5/2013,0.25
4/6/2013,0.08
4/7/2013,0.39
4/8/2013,0.45
4/9/2013,0.19
4/10/2013,0.05
4/11/2013,0.17
4/12/2013,0.03
4/13/2013,0
4/25/2013,0
4/26/2013,0
4/27/2013,0
4/28/2013,0.03
4/29/2013,0
4/30/2013,0.9
5/1/2013,1.62
5/2/2013,0
5/3/2013,0
5/4/2013,0
5/5/2013,0.03
5/6/2013,0
5/7/2013,0.13
5/8/2013,1.73
5/9/2013,0.95
5/10/2013,0
5/11/2013,0
5/12/2013,0.01
5/13/2013,0
5/14/2013,0
6/4/2013,0
6/5/2013,0
6/6/2013,0
6/7/2013,0.03
6/8/2013,0
6/9/2013,0
6/10/2013,0
6/11/2013,0
6/12/2013,0
6/13/2013,0
6/14/2013,0
6/15/2013,0
6/16/2013,0.1
6/17/2013,0
6/18/2013,0
6/19/2013,0
6/20/2013,0
6/21/2013,0
6/22/2013,0
6/23/2013,0
6/24/2013,0
6/25/2013,0
6/26/2013,0
6/27/2013,0
6/28/2013,0
6/29/2013,0.13
6/30/2013,0.04
7/1/2013,0.19
7/2/2013,0
7/3/2013,0
7/4/2013,0.02
7/5/2013,0.55
7/6/2013,0.41
7/7/2013,0.18
7/8/2013,0.28
7/9/2013,0
7/10/2013,0
7/11/2013,0
7/12/2013,0.14
7/13/2013,0.49
7/14/2013,0.22
7/15/2013,0
7/16/2013,0
7/17/2013,0.03
7/18/2013,0.36
7/19/2013,0
7/20/2013,0
7/21/2013,0
7/22/2013,0
7/23/2013,0
7/24/2013,0.03
7/25/2013,0.35
7/26/2013,0.02
7/27/2013,0.07
7/28/2013,0.15
7/29/2013,0.4
7/30/2013,0
7/31/2013,0.02
8/1/2013,0.01
8/2/2013,0
8/3/2013,0
8/4/2013,0.11
8/5/2013,0
8/6/2013,0
8/7/2013,0
8/8/2013,0
8/9/2013,0.08
8/10/2013,0.01
8/11/2013,0.06
8/12/2013,0.27
8/13/2013,0.25
8/14/2013,0
8/15/2013,0
8/16/2013,0
8/17/2013,0
8/18/2013,0
8/19/2013,0
8/20/2013,0
8/21/2013,0
8/22/2013,0.12
8/23/2013,0.05
8/24/2013,0.4
8/25/2013,0.08
8/26/2013,0.06
8/27/2013,0.19
8/28/2013,0
8/29/2013,0.17
8/30/2013,0.05
8/31/2013,0.63
9/1/2013,0
9/2/2013,0
9/3/2013,0.03
9/4/2013,0.18
9/5/2013,0
9/6/2013,0.34
9/7/2013,0
9/8/2013,0.07
9/9/2013,0.31
9/10/2013,0.45
9/11/2013,2.1
9/12/2013,1.76
9/13/2013,0.29
9/14/2013,0.05
9/15/2013,0.73
9/16/2013,0.05
9/17/2013,0
9/18/2013,0.62
9/19/2013,0.31
9/20/2013,0
9/21/2013,0
9/22/2013,0.73
